load,t1,t2,t3,dow,doy,year,month,hour,woy,dom,working
0.9353821026876588,-1.1814662170600725,-1.3128721285434994,-1.2633030499675535,3,35,2016,2,7,5,4,1
0.9625810321763337,-1.2720119895091795,-1.3495290200391008,-1.2457279039584686,3,35,2016,2,8,5,4,1
0.9633428527451129,-1.1471212688897217,-1.1351417399804498,-1.0131949383517196,3,35,2016,2,9,5,4,1
0.9619566384450642,-0.7474709629074561,-0.6530480816226784,-0.7630867618429592,3,35,2016,2,10,5,4,1
0.924364734253174,-0.3353315848632447,-0.3864524987781036,-0.49405152498377686,3,35,2016,2,11,5,4,1
0.7452776363972833,-0.17921818408892226,-0.2575979960899313,-0.31018818948734594,3,35,2016,2,12,5,4,1
0.7784836807226245,-0.019982515299113296,-0.11319202101661768,-0.37508111615833883,3,35,2016,2,13,5,4,1
0.7317821355363285,0.13300861745972267,-0.08431085043988265,-0.37508111615833883,3,35,2016,2,14,5,4,1
0.7241816814485326,-0.054327463469464286,-0.16317870234604118,-0.41293530175210885,3,35,2016,2,15,5,4,1
0.8423518724209546,-0.35406519295616345,-0.27759261974584576,-0.5386653471771577,3,35,2016,2,16,5,4,1
0.9345747094231802,-0.6319470463344574,-0.586399193548387,-0.6725070084360805,3,35,2016,2,17,5,4,1
0.9360547907495155,-0.8817284875733734,-0.9674086937927664,-0.6995457495133032,3,35,2016,2,18,5,4,1
0.9159962145909696,-1.0159860122392907,-1.219563660801564,-0.7901254380272551,3,35,2016,2,19,5,4,1
0.8879762557326224,-1.2095666291994507,-1.2917666177908116,-0.8942245295262817,3,35,2016,2,20,5,4,1
0.8834849667257509,-1.225177969276883,-1.3417532991202346,-0.8942245295262817,3,35,2016,2,21,5,4,1
0.8851458439627173,-1.3407018858498814,-1.413956256109482,-0.914503569110967,3,35,2016,2,22,5,4,1
0.8832355566600584,-1.4062695141750967,-1.413956256109482,-1.305213043478261,3,35,2016,2,23,5,4,1
0.8830819130358093,-1.45622580242288,-1.413956256109482,-1.5161150551589877,4,36,2016,2,0,5,5,1
0.8802367002652153,-1.4857454102660173,-1.413956256109482,-1.5607289422452952,4,36,2016,2,1,5,5,1
0.8773488794577733,-1.4812039465467717,-1.413956256109482,-1.4836686567164181,4,36,2016,2,2,5,5,1
0.883062698969656,-1.476662482827526,-1.413956256109482,-1.5431537962362103,4,36,2016,2,3,5,5,1
0.8484943749575562,-1.4749594105157988,-1.413956256109482,-1.5431537962362103,4,36,2016,2,4,5,5,1
0.8950382921102593,-1.4749594105157988,-1.413956256109482,-1.5810079818299805,4,36,2016,2,5,5,5,1
0.8927859919569262,-1.5217934307480956,-1.428396871945259,-1.672939649578196,4,36,2016,2,6,5,5,1
0.9352648735389519,-1.5405270388410144,-1.4428374877810362,-1.668883841661259,4,36,2016,2,7,5,5,1
0.9476959476532133,-1.4749594105157988,-1.3284235092864125,-1.4944841012329657,4,36,2016,2,8,5,5,1
0.956441314840747,-1.2095666291994507,-1.0340575818670579,-1.2457279039584686,4,36,2016,2,9,5,5,1
0.96036744894841,-0.9129511677282379,-0.7674619990224829,-1.0145468526930566,4,36,2016,2,10,5,5,1
0.9646310805088635,-0.6319470463344574,-0.6452723607038123,-0.7536232316677484,4,36,2016,2,11,5,5,1
0.9060919282374527,-0.4914449856375672,-0.4942015518084067,-0.5319057105775471,4,36,2016,2,12,5,5,1
0.7464908519109388,-0.44148869738978397,-0.3864524987781036,-0.4034717715768982,4,36,2016,2,13,5,5,1
0.711791417983746,-0.30410890470838026,-0.3142495112414468,-0.37508111615833883,4,36,2016,2,14,5,5,1
0.7694512844880691,-0.288497564630948,-0.3142495112414468,-0.37508111615833883,4,36,2016,2,15,5,5,1
0.7780204363721279,-0.379043337080055,-0.36423619257086987,-0.42104691758598295,4,36,2016,2,16,5,5,1
0.8078843489754228,-0.5226676657924317,-0.5219718963831868,-0.5805754055807918,4,36,2016,2,17,5,5,1
0.7935146296812403,-0.7100037467216187,-0.7952324046920821,-0.8022928617780662,4,36,2016,2,18,5,5,1
0.6628799139024142,-0.872361683526914,-1.0396116813294234,-0.8901687216093447,4,36,2016,2,19,5,5,1
0.584418205412207,-1.0846759085799926,-1.219563660801564,-0.8942245295262817,4,36,2016,2,20,5,5,1
0.5733477973470852,-1.1471212688897217,-1.2917666177908116,-0.9699329656067489,4,36,2016,2,21,5,5,1
0.5722916526981138,-1.212688897214937,-1.2917666177908116,-1.2078736534717716,4,36,2016,2,22,5,5,1
0.5862179564600163,-1.2668081990758089,-1.3062072336265884,-1.2457279039584686,4,36,2016,2,23,5,5,1
0.5743029351344653,-1.3334166042213063,-1.3206478494623655,-1.180834912394549,5,37,2016,2,0,5,6,0
0.5810437275721156,-1.405701823404521,-1.3706345002443794,-1.2646549643088905,5,37,2016,2,1,5,6,0
0.5750636537862435,-1.4874484825777445,-1.4644983504398827,-1.245727839065542,5,37,2016,2,2,5,6,0
0.5814113958316313,-1.5691951417509682,-1.5072647238514174,-1.4241833874107723,5,37,2016,2,3,5,6,0
0.5826014993240928,-1.587361059073311,-1.5217053396871947,-1.4755569759896172,5,37,2016,2,4,5,6,0
0.6290163689017679,-1.5998501311352569,-1.5217053396871947,-1.5431537962362103,5,37,2016,2,5,5,6,0
0.6419860012119533,-1.5998501311352569,-1.4717186583577713,-1.5431537962362103,5,37,2016,2,6,5,6,0
0.6364748848931805,-1.4936930186087176,-1.428396871945259,-1.4877243997404284,5,37,2016,2,7,5,6,0
